iter	Passed	Remaining
472	686	764
473	687	762
474	688	760
475	689	759
476	690	757
477	691	755
478	692	753
479	693	751
480	694	749
481	695	747
482	697	746
483	698	744
484	699	742
485	700	740
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	707	730
492	708	728
493	709	726
494	710	724
495	711	722
496	712	721
497	713	719
498	714	717
499	715	715
500	716	714
501	717	712
502	719	710
503	720	708
504	721	707
505	722	705
506	723	703
507	724	701
508	725	700
509	726	698
510	727	696
511	729	694
512	730	693
513	731	691
514	732	689
515	733	688
516	734	686
517	735	684
518	736	682
519	737	681
520	738	679
521	740	677
522	741	675
523	742	674
524	743	672
525	744	670
526	745	669
527	746	667
528	747	665
529	748	664
530	749	662
531	751	660
532	752	659
533	753	657
534	754	655
535	755	654
536	756	652
537	757	650
538	758	648
539	759	647
540	761	646
541	762	644
542	763	642
543	765	641
544	766	639
545	767	637
546	768	636
547	769	634
548	770	633
549	771	631
550	772	629
551	773	628
552	775	626
553	776	624
554	777	623
555	778	621
556	779	620
557	780	618
558	781	616
559	783	615
560	784	613
561	785	611
562	786	610
563	787	608
564	788	607
565	789	605
566	790	603
567	791	602
568	792	600
569	794	599
570	795	597
571	796	595
572	797	594
573	798	592
574	800	591
575	801	589
576	802	588
577	803	586
578	804	585
579	805	583
580	806	581
581	807	580
582	808	578
583	810	577
584	811	575
585	812	574
586	813	572
587	815	571
588	816	569
589	817	567
590	818	566
591	819	564
592	820	563
593	821	561
594	822	560
595	824	558
596	825	557
597	826	555
598	827	553
599	828	552
600	829	550
601	830	549
602	831	547
603	833	546
604	834	544
605	835	543
606	836	541
607	837	540
608	838	538
609	839	536
610	840	535
611	842	533
612	843	532
613	844	530
614	845	529
615	846	527
616	847	526
617	848	524
618	849	523
619	850	521
620	852	520
621	853	518
622	854	517
623	856	515
624	857	514
625	858	512
626	859	511
627	860	509
628	861	508
629	862	506
630	863	505
631	864	503
632	865	502
633	867	500
634	868	499
635	869	497
636	870	495
637	871	494
638	872	492
639	873	491
640	874	489
641	875	488
642	876	486
643	877	485
644	879	483
645	880	482
646	881	480
647	882	479
648	883	477
649	884	476
650	885	474
651	886	473
652	887	471
653	888	470
654	890	468
655	891	467
656	892	465
657	893	464
658	894	462
659	895	461
660	896	459
661	897	458
662	898	456
663	899	455
664	901	453
665	902	452
666	903	450
667	904	449
668	905	447
669	906	446
670	907	445
671	908	443
672	910	442
673	911	440
674	912	439
675	913	437
676	914	436
677	915	434
678	916	433
679	917	431
680	918	430
681	920	428
682	921	427
683	922	426
684	923	424
685	924	423
686	925	421
687	926	420
688	927	418
689	928	417
690	929	415
691	931	414
692	932	412
693	933	411
694	934	410
695	935	408
696	936	407
697	937	405
698	938	404
699	940	403
700	942	401
701	943	400
702	944	398
703	945	397
704	946	396
705	947	394
706	948	393
707	949	391
708	950	390
709	951	388
710	952	387
711	954	385
712	955	384
713	956	383
714	957	381
715	958	380
716	959	378
717	960	377
718	961	375
719	962	374
720	964	373
721	965	371
722	966	370
723	967	368
724	968	367
725	969	365
726	970	364
727	971	363
728	972	361
729	974	360
730	975	358
731	976	357
732	977	356
733	978	354
734	979	353
735	980	351
736	981	350
737	983	348
738	984	347
739	985	346
740	986	344
741	987	343
742	988	341
743	989	340
744	990	339
745	991	337
746	992	336
747	994	334
748	995	333
749	996	332
750	998	330
751	999	329
752	1000	328
753	1001	326
754	1002	325
755	1003	323
756	1004	322
757	1005	321
758	1006	319
759	1007	318
760	1009	316
761	1010	315
762	1011	314
763	1012	312
764	1013	311
765	1014	309
766	1015	308
767	1016	307
768	1017	305
769	1018	304
770	1020	303
771	1021	301
772	1023	300
773	1024	299
774	1025	297
775	1026	296
776	1027	294
777	1028	293
778	1029	292
779	1030	290
780	1031	289
781	1032	287
782	1034	286
783	1035	285
784	1037	284
785	1038	282
786	1039	281
787	1040	279
788	1041	278
789	1042	277
790	1043	275
791	1045	274
792	1046	273
793	1047	271
794	1048	270
795	1049	268
796	1050	267
797	1051	266
798	1052	264
799	1053	263
800	1054	262
801	1055	260
802	1056	259
803	1058	257
804	1059	256
805	1060	255
806	1061	253
807	1062	252
808	1063	251
809	1064	249
810	1065	248
811	1066	247
812	1068	245
813	1069	244
814	1070	242
815	1071	241
816	1072	240
817	1073	238
818	1074	237
819	1075	236
820	1076	234
821	1077	233
822	1078	232
823	1079	230
824	1081	229
825	1082	227
826	1083	226
827	1084	225
828	1085	223
829	1086	222
830	1087	221
831	1088	219
832	1089	218
833	1091	217
834	1092	215
835	1093	214
836	1094	213
837	1095	211
838	1096	210
839	1097	209
840	1098	207
841	1099	206
842	1100	205
843	1102	203
844	1103	202
845	1104	201
846	1105	199
847	1106	198
848	1107	196
849	1108	195
850	1109	194
851	1111	193
852	1112	191
853	1113	190
854	1114	189
855	1115	187
856	1117	186
857	1118	185
858	1119	183
859	1120	182
860	1121	181
861	1122	179
862	1123	178
863	1125	177
864	1126	175
865	1127	174
866	1128	173
867	1129	171
868	1130	170
869	1131	169
870	1132	167
871	1134	166
872	1135	165
873	1137	163
874	1138	162
875	1139	161
876	1140	159
877	1141	158
878	1142	157
879	1143	155
880	1144	154
881	1145	153
882	1146	151
883	1148	150
884	1149	149
885	1150	148
886	1152	146
887	1153	145
888	1154	144
889	1155	142
890	1156	141
891	1157	140
892	1159	138
893	1160	137
894	1161	136
895	1162	134
896	1163	133
897	1165	132
898	1166	131
899	1167	129
900	1168	128
901	1169	127
902	1170	125
903	1171	124
904	1172	123
905	1173	121
906	1175	120
907	1176	119
908	1177	117
909	1178	116
910	1179	115
911	1180	113
912	1181	112
913	1182	111
914	1183	109
915	1184	108
916	1186	107
917	1187	106
918	1188	104
919	1189	103
920	1190	102
921	1191	100
922	1192	99
923	1193	98
924	1194	96
925	1195	95
926	1196	94
927	1198	92
928	1199	91
929	1200	90
930	1201	89
931	1202	87
932	1203	86
933	1204	85
934	1205	83
935	1206	82
936	1207	81
937	1208	79
938	1209	78
939	1210	77
940	1212	75
941	1213	74
942	1214	73
943	1215	72
944	1216	70
945	1217	69
946	1218	68
947	1219	66
948	1220	65
949	1222	64
950	1223	63
951	1224	61
952	1225	60
953	1226	59
954	1227	57
955	1228	56
956	1229	55
957	1230	53
958	1232	52
959	1233	51
960	1235	50
961	1236	48
962	1237	47
963	1238	46
964	1239	44
965	1240	43
966	1241	42
967	1243	41
968	1244	39
969	1245	38
970	1246	37
971	1247	35
972	1248	34
973	1249	33
974	1250	32
975	1251	30
976	1252	29
977	1254	28
978	1255	26
979	1256	25
980	1257	24
981	1258	23
982	1259	21
983	1260	20
984	1261	19
985	1262	17
986	1264	16
987	1265	15
988	1266	14
989	1267	12
990	1268	11
991	1269	10
992	1270	8
993	1271	7
994	1272	6
995	1273	5
996	1275	3
997	1276	2
998	1278	1
999	1279	0
