iter	Passed	Remaining
459	801	941
460	803	938
461	804	936
462	805	934
463	807	932
464	808	930
465	809	927
466	810	925
467	812	923
468	813	921
469	816	920
470	817	918
471	818	915
472	819	913
473	821	911
474	822	908
475	823	906
476	824	904
477	826	902
478	827	900
479	828	897
480	831	896
481	832	894
482	833	892
483	835	890
484	836	888
485	837	886
486	839	883
487	840	881
488	841	879
489	842	877
490	844	875
491	846	874
492	847	871
493	849	869
494	850	867
495	851	865
496	853	863
497	854	861
498	855	859
499	857	857
500	858	854
501	859	852
502	862	852
503	863	850
504	865	848
505	867	846
506	868	844
507	870	842
508	871	840
509	873	838
510	874	836
511	876	835
512	878	833
513	879	831
514	880	829
515	882	827
516	883	825
517	884	823
518	886	821
519	887	819
520	888	817
521	889	814
522	892	813
523	893	811
524	894	809
525	896	807
526	897	805
527	899	803
528	900	802
529	902	800
530	903	798
531	904	796
532	908	795
533	910	794
534	911	792
535	913	790
536	915	789
537	917	787
538	918	785
539	919	783
540	923	783
541	925	782
542	927	780
543	928	778
544	931	777
545	933	775
546	934	773
547	936	772
548	938	771
549	940	769
550	942	767
551	945	767
552	946	765
553	948	763
554	950	762
555	954	761
556	955	760
557	957	758
558	960	757
559	961	755
560	963	753
561	967	753
562	970	752
563	971	751
564	973	749
565	974	747
566	976	745
567	977	743
568	979	741
569	982	740
570	985	740
571	986	738
572	988	736
573	989	734
574	992	733
575	993	731
576	994	729
577	997	728
578	999	726
579	1000	724
580	1002	722
581	1003	720
582	1005	719
583	1006	716
584	1007	714
585	1011	714
586	1013	712
587	1014	711
588	1016	709
589	1018	707
590	1019	705
591	1020	703
592	1022	701
593	1026	701
594	1028	700
595	1030	698
596	1032	696
597	1033	694
598	1035	693
599	1037	691
600	1041	691
601	1043	689
602	1044	687
603	1046	685
604	1047	683
605	1048	681
606	1050	679
607	1051	677
608	1052	675
609	1055	674
610	1057	673
611	1058	671
612	1059	669
613	1061	667
614	1062	665
615	1063	663
616	1065	661
617	1066	659
618	1069	658
619	1071	656
620	1072	654
621	1073	652
622	1074	650
623	1076	648
624	1078	646
625	1079	645
626	1081	643
627	1085	643
628	1087	641
629	1088	639
630	1089	637
631	1091	635
632	1092	633
633	1095	632
634	1097	630
635	1100	629
636	1102	628
637	1103	626
638	1105	624
639	1107	622
640	1109	621
641	1111	619
642	1112	617
643	1114	616
644	1116	614
645	1117	612
646	1118	610
647	1120	608
648	1121	606
649	1122	604
650	1123	602
651	1125	600
652	1126	598
653	1127	596
654	1131	595
655	1132	593
656	1133	591
657	1135	589
658	1136	587
659	1137	586
660	1138	584
661	1140	582
662	1141	580
663	1142	578
664	1144	576
665	1146	575
666	1148	573
667	1149	571
668	1151	569
669	1152	567
670	1153	565
671	1155	563
672	1156	561
673	1157	559
674	1158	557
675	1161	556
676	1162	554
677	1164	552
678	1165	550
679	1166	548
680	1167	547
681	1169	545
682	1170	543
683	1171	541
684	1172	539
685	1174	537
686	1178	536
687	1179	535
688	1181	533
689	1182	531
690	1183	529
691	1185	527
692	1186	525
693	1187	523
694	1189	521
695	1192	520
696	1194	519
697	1195	517
698	1197	515
699	1198	513
700	1199	511
701	1201	509
702	1202	507
703	1203	506
704	1204	504
705	1207	502
706	1208	500
707	1210	499
708	1211	497
709	1212	495
710	1213	493
711	1215	491
712	1216	489
713	1218	487
714	1219	486
715	1222	485
716	1224	483
717	1225	481
718	1226	479
719	1228	477
720	1229	475
721	1230	473
722	1232	472
723	1233	470
724	1234	468
725	1237	467
726	1239	465
727	1240	463
728	1242	461
729	1243	459
730	1244	458
731	1246	456
732	1247	454
733	1248	452
734	1250	450
735	1252	449
736	1253	447
737	1255	445
738	1256	443
739	1257	441
740	1259	440
741	1260	438
742	1261	436
743	1263	434
744	1264	432
745	1265	430
746	1269	429
747	1270	428
748	1272	426
749	1273	424
750	1275	422
751	1277	421
752	1280	420
753	1283	418
754	1284	416
755	1286	415
756	1290	414
757	1292	412
758	1294	411
759	1299	410
760	1300	408
761	1302	406
762	1304	405
763	1305	403
764	1307	401
765	1308	399
766	1309	397
767	1311	396
768	1314	394
769	1316	393
770	1318	391
771	1319	389
772	1320	387
773	1322	386
774	1326	385
775	1329	383
776	1332	382
777	1334	380
778	1335	378
779	1337	377
780	1338	375
781	1340	373
782	1347	373
783	1349	371
784	1351	370
785	1352	368
786	1354	366
787	1356	364
788	1357	363
789	1362	362
790	1365	360
791	1367	359
792	1368	357
793	1370	355
794	1371	353
795	1381	354
796	1383	352
797	1385	350
798	1387	349
799	1390	347
800	1392	346
801	1394	344
802	1396	342
803	1398	340
804	1400	339
805	1402	337
806	1403	335
807	1405	333
808	1407	332
809	1408	330
810	1409	328
811	1411	326
812	1413	325
813	1415	323
814	1417	321
815	1420	320
816	1423	318
817	1424	317
818	1426	315
819	1428	313
820	1429	311
821	1431	309
822	1436	308
823	1438	307
824	1440	305
825	1442	303
826	1443	302
827	1445	300
828	1446	298
829	1447	296
830	1451	295
831	1453	293
832	1454	291
833	1455	289
834	1457	287
835	1458	286
836	1459	284
837	1461	282
838	1462	280
839	1465	279
840	1467	277
841	1469	275
842	1470	273
843	1472	272
844	1474	270
845	1476	268
846	1477	266
847	1479	265
848	1483	263
849	1484	261
850	1485	260
851	1487	258
852	1488	256
853	1489	254
854	1491	252
855	1492	251
856	1493	249
857	1496	247
858	1498	245
859	1499	244
860	1500	242
861	1502	240
862	1503	238
863	1504	236
864	1505	235
865	1507	233
866	1508	231
867	1511	229
868	1512	228
869	1513	226
870	1515	224
871	1517	222
872	1518	220
873	1520	219
874	1521	217
875	1522	215
876	1526	214
877	1529	212
878	1530	210
879	1532	208
880	1533	207
881	1534	205
882	1535	203
883	1537	201
884	1538	199
885	1540	198
886	1542	196
887	1544	194
888	1545	192
889	1546	191
890	1548	189
891	1549	187
892	1550	185
893	1552	184
894	1553	182
895	1554	180
896	1557	178
897	1558	177
898	1559	175
899	1561	173
900	1562	171
901	1563	169
902	1564	168
903	1566	166
904	1567	164
905	1568	162
906	1570	160
907	1572	159
908	1573	157
909	1575	155
910	1576	153
911	1577	152
912	1578	150
913	1580	148
914	1581	146
915	1582	145
916	1584	143
917	1586	141
918	1587	139
919	1589	138
920	1590	136
921	1591	134
922	1593	132
923	1594	131
924	1595	129
925	1596	127
926	1598	125
927	1599	124
928	1602	122
929	1603	120
930	1604	118
931	1606	117
932	1607	115
933	1608	113
934	1609	111
935	1611	110
936	1612	108
937	1613	106
938	1615	104
939	1618	103
940	1619	101
941	1621	99
942	1622	98
943	1623	96
944	1625	94
945	1626	92
946	1627	91
947	1629	89
948	1630	87
949	1632	85
950	1634	84
951	1635	82
952	1636	80
953	1638	78
954	1639	77
955	1640	75
956	1641	73
957	1643	72
958	1644	70
959	1645	68
960	1648	66
961	1649	65
962	1650	63
963	1652	61
964	1653	59
965	1654	58
966	1656	56
967	1657	54
968	1658	53
969	1660	51
970	1662	49
971	1664	47
972	1665	46
973	1666	44
974	1668	42
975	1669	41
976	1670	39
977	1671	37
978	1673	35
979	1674	34
980	1675	32
981	1678	30
982	1679	29
983	1681	27
984	1682	25
985	1683	23
986	1684	22
987	1686	20
988	1687	18
989	1688	17
990	1690	15
991	1691	13
992	1693	11
993	1695	10
994	1696	8
995	1697	6
996	1699	5
997	1700	3
998	1701	1
999	1703	0
